generation,N_shifts,eventRate
3270001,1,1.30296
3275001,1,1.23772
3280001,4,3.30381
3285001,3,0.21038
3290001,1,1.27419
3295001,0,2.42781
3300001,0,0.671608
3305001,2,0.477142
3310001,1,0.0826274
3315001,1,1.26938
3320001,0,1.76078
3325001,3,0.644228
3330001,0,0.820059
3335001,0,0.603445
3340001,1,0.974365
3345001,1,0.540003
3350001,0,0.0546995
3355001,2,2.38221
3360001,1,0.392727
3365001,0,0.230697
3370001,0,0.336737
3375001,3,3.72992
3380001,0,0.109195
3385001,2,1.39646
3390001,0,0.113436
3395001,2,4.38304
3400001,0,1.03144
3405001,2,1.57371
3410001,3,2.6095
3415001,1,1.46144
3420001,0,0.114634
3425001,1,0.714835
3430001,2,1.27631
3435001,1,0.753837
3440001,0,0.520743
3445001,0,0.606967
3450001,0,0.0873782
3455001,0,0.373838
3460001,4,0.528484
3465001,1,0.44057
3470001,6,1.67692
3475001,0,1.70236
3480001,2,1.36775
3485001,0,0.177669
3490001,0,0.00478819
3495001,1,0.273354
3500001,0,1.94114
3505001,1,2.15591
3510001,1,0.498604
3515001,0,0.1649
3520001,0,0.459252
3525001,0,0.0563066
3530001,4,0.891971
3535001,1,0.145745
3540001,1,0.642012
3545001,0,0.250698
3550001,1,0.486848
3555001,0,1.45091
3560001,0,0.332603
3565001,0,1.02892
3570001,1,0.383609
3575001,0,0.295222
3580001,1,0.395651
3585001,1,3.20082
3590001,0,0.10482
3595001,1,0.717077
3600001,1,1.30984
3605001,0,0.330786
3610001,0,0.15032
3615001,4,0.896139
3620001,1,1.23951
3625001,2,1.63857
3630001,0,0.517982
3635001,1,2.01155
3640001,0,0.353541
3645001,0,0.155333
3650001,1,0.048768
3655001,1,1.00174
3660001,0,0.0994583
3665001,0,0.899726
3670001,0,0.220099
3675001,0,0.337901
3680001,3,0.908688
3685001,0,1.01902
3690001,1,0.218455
3695001,1,0.636817
3700001,2,5.04308
3705001,4,6.48671
3710001,0,1.06766
3715001,0,0.0702408
3720001,0,0.779241
3725001,3,1.79954
3730001,2,0.180186
3735001,0,0.101828
3740001,0,0.276251
3745001,1,0.728754
3750001,0,0.359398
3755001,0,0.946027
3760001,1,0.992778
3765001,0,1.45896
3770001,0,0.678927
3775001,0,0.185024
3780001,0,0.129547
3785001,4,2.20521
3790001,3,0.463963
3795001,0,0.470989
3800001,1,0.078374
3805001,0,0.738734
3810001,0,1.41894
3815001,0,1.88795
3820001,1,2.87865
3825001,0,0.777599
3830001,0,0.986365
3835001,1,2.73004
3840001,0,0.457595
3845001,0,0.1813
3850001,1,2.1831
3855001,0,0.700116
3860001,0,0.0336868
3865001,1,2.96932
3870001,0,0.676087
3875001,0,1.83219
3880001,1,0.96274
3885001,1,0.548736
3890001,1,2.08485
3895001,1,1.79366
3900001,0,1.86015
3905001,1,3.55896
3910001,3,1.68387
3915001,2,0.360043
3920001,2,1.61035
3925001,0,0.996194
3930001,0,0.00263832
3935001,2,2.67907
3940001,0,0.305535
3945001,0,1.80812
3950001,0,0.74417
3955001,0,0.015792
3960001,1,0.717405
3965001,0,0.261901
3970001,1,2.1254
3975001,0,0.0970191
3980001,2,0.0582686
3985001,0,0.491016
3990001,1,1.27405
3995001,0,1.0812
4000001,0,0.599115
4005001,1,1.92069
4010001,5,1.35267
4015001,0,0.958198
4020001,4,1.71659
4025001,3,1.75721
4030001,0,0.0497229
4035001,0,0.0368847
4040001,0,0.304331
4045001,1,0.674066
4050001,1,0.520487
4055001,0,0.103432
4060001,1,3.09474
4065001,3,1.3077
4070001,4,0.778238
4075001,0,2.32042
4080001,0,0.790338
4085001,0,0.240743
4090001,2,0.621989
4095001,2,1.65811
4100001,0,0.433652
4105001,0,0.0228802
4110001,1,0.170001
4115001,6,0.640866
4120001,2,1.30148
4125001,3,1.07138
4130001,0,1.78309
4135001,1,1.541
4140001,0,0.653668
4145001,2,0.433844
4150001,0,0.101559
4155001,2,0.409767
4160001,0,0.307615
4165001,2,0.579929
4170001,0,0.752256
4175001,1,5.33693
4180001,0,1.35033
4185001,1,0.431263
4190001,1,2.09599
4195001,4,2.28805
4200001,0,0.123143
4205001,2,1.45818
4210001,0,0.605737
4215001,0,0.684917
4220001,2,1.5121
4225001,1,5.41208
4230001,1,0.46035
4235001,1,0.982205
4240001,0,0.816092
4245001,3,1.52227
4250001,1,1.58356
4255001,0,0.398853
4260001,1,1.73426
