generation,N_shifts,eventRate
2950001,2,0.850448
2955001,0,0.0572311
2960001,2,3.71238
2965001,2,2.17089
2970001,0,0.74903
2975001,1,0.255278
2980001,3,0.165583
2985001,0,0.646506
2990001,2,0.586658
2995001,0,0.119519
3000001,1,0.646647
3005001,0,0.29261
3010001,0,1.32195
3015001,0,0.99383
3020001,1,0.0753665
3025001,0,0.21051
3030001,0,0.56658
3035001,0,0.240189
3040001,0,0.770159
3045001,0,0.434425
3050001,0,0.221286
3055001,1,0.376742
3060001,1,0.979631
3065001,0,2.6069
3070001,0,1.03842
3075001,1,1.94303
3080001,1,0.0698855
3085001,0,0.763183
3090001,0,0.57962
3095001,1,0.356085
3100001,1,1.74332
3105001,0,0.0807006
3110001,0,2.96926
3115001,1,1.04551
3120001,0,0.516408
3125001,0,1.24968
3130001,0,0.454868
3135001,1,0.87971
3140001,1,0.375442
3145001,0,0.175094
3150001,0,0.151108
3155001,1,1.14446
3160001,0,0.101406
3165001,1,1.34682
3170001,0,1.2328
3175001,0,0.39832
3180001,2,0.459551
3185001,0,0.222151
3190001,2,2.01384
3195001,0,0.341852
3200001,0,0.814049
3205001,1,1.66069
3210001,4,2.82746
3215001,0,0.325349
3220001,0,0.579067
3225001,1,0.296028
3230001,2,0.868493
3235001,1,0.365242
3240001,0,0.140593
3245001,0,1.54453
3250001,1,0.384952
3255001,0,0.185579
3260001,0,1.1212
3265001,2,1.83346
3270001,6,2.93296
3275001,0,0.540517
3280001,2,1.48224
3285001,0,0.0321482
3290001,0,0.611162
3295001,1,0.0721637
3300001,3,1.09105
3305001,0,2.72797
3310001,1,0.464201
3315001,0,0.0219064
3320001,0,0.150301
3325001,1,0.228361
3330001,0,0.798725
3335001,3,4.6587
3340001,0,0.00103886
3345001,3,1.64733
3350001,0,0.188552
3355001,0,0.184134
3360001,0,0.52698
3365001,0,0.161579
3370001,0,2.72579
3375001,2,1.00735
3380001,0,1.52397
3385001,0,0.231051
3390001,0,0.571038
3395001,0,0.276938
3400001,3,2.59983
3405001,3,3.52619
3410001,1,0.338356
3415001,1,0.678073
3420001,0,1.73008
3425001,2,0.754866
3430001,1,0.65319
3435001,1,0.780004
3440001,2,2.52133
3445001,1,2.10694
3450001,6,0.217539
3455001,0,2.31668
3460001,0,0.105236
3465001,1,0.353796
3470001,0,0.285926
3475001,0,0.0506918
3480001,0,1.04329
3485001,0,0.12433
3490001,1,1.67108
3495001,0,0.525487
3500001,1,0.0660153
3505001,1,0.544412
3510001,2,1.16863
3515001,0,0.100183
3520001,1,1.39479
3525001,1,1.75847
3530001,1,0.403154
3535001,2,1.04991
3540001,3,2.93744
3545001,2,2.0335
3550001,0,0.942486
3555001,2,2.42694
3560001,2,0.204995
3565001,1,2.34398
3570001,0,0.0429552
3575001,0,0.165218
3580001,2,1.69549
3585001,2,3.95321
3590001,0,0.0929071
3595001,1,0.949684
3600001,0,0.00319553
3605001,1,0.414365
3610001,0,0.513326
3615001,2,1.9618
3620001,0,2.60609
3625001,1,0.599985
3630001,1,0.0726156
3635001,2,1.56723
3640001,0,0.290759
3645001,1,1.07946
3650001,0,0.0181306
3655001,1,1.32568
3660001,2,2.83967
3665001,0,0.0251968
3670001,1,1.51312
3675001,0,0.369149
3680001,0,0.0120787
3685001,3,1.24467
3690001,3,3.8779
3695001,1,1.36393
3700001,3,1.12085
3705001,1,0.579934
3710001,2,1.73635
3715001,0,2.84758
3720001,0,1.42804
3725001,1,0.804142
3730001,0,1.54608
3735001,2,1.67441
3740001,0,0.204811
3745001,0,1.10182
3750001,1,1.08059
3755001,0,0.0737477
3760001,0,0.0200161
3765001,4,3.16711
3770001,0,0.423544
3775001,0,0.514069
3780001,0,0.163315
3785001,0,0.0330734
3790001,0,0.11979
3795001,2,1.69806
3800001,1,0.383365
3805001,3,3.39161
3810001,2,3.16305
3815001,0,0.221514
3820001,1,0.576159
3825001,2,0.783743
3830001,0,0.456567
