generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1625001,5,79.5221,-26048.6,0.943952,0.3028
1630001,4,64.4353,-26048.2,0.826988,0.2762
1635001,5,82.0945,-26046.8,0.783893,0.3038
1640001,4,65.7405,-26048.5,0.826915,0.2834
1645001,5,80.0148,-26045.3,1.11639,0.3174
1650001,5,79.9772,-26045.7,1.82011,0.2752
1655001,4,66.2723,-26046.2,1.19304,0.304
1660001,4,60.4954,-26026.9,0.870891,0.2786
1665001,3,45.4656,-26026.3,0.273379,0.2758
1670001,3,44.0764,-26030.3,1.59431,0.2688
1675001,4,58.7245,-26024.3,2.12448,0.287
1680001,4,61.3412,-26028.6,0.47551,0.271
1685001,3,46.0874,-26028.3,0.682574,0.282
1690001,3,46.9481,-26023.2,0.0297364,0.2454
1695001,5,76.8193,-26024.5,0.109619,0.288
1700001,3,47.4294,-26024.4,0.317191,0.2544
1705001,3,44.3063,-26026.9,0.568734,0.2302
1710001,3,44.4984,-26025.5,1.27687,0.261
1715001,3,45.226,-26023.8,0.766479,0.2442
1720001,3,45.5292,-26024.7,0.842771,0.2768
1725001,3,46.7626,-26028.3,0.0435178,0.2506
1730001,5,78.4371,-26028,0.332143,0.2778
1735001,5,77.0811,-26025.6,1.01957,0.2768
1740001,3,44.4843,-26024.3,0.20707,0.3036
1745001,4,61.3681,-26024.9,0.146306,0.2924
1750001,3,46.0735,-26022.6,0.349815,0.2792
1755001,3,45.6802,-26023.5,0.109755,0.269
1760001,3,46.2593,-26025,0.218207,0.2852
1765001,3,45.0049,-26022.9,0.98336,0.2734
1770001,4,59.5857,-26029.6,1.45681,0.2728
1775001,4,57.937,-26024.6,0.788688,0.254
1780001,3,45.5456,-26026,0.309802,0.2536
1785001,4,62.5225,-26021.2,0.917209,0.3186
1790001,6,94.612,-26014.7,0.662481,0.3184
1795001,7,107.73,-26017.8,1.38508,0.309
1800001,5,73.6989,-26022.3,0.453152,0.308
1805001,4,61.0572,-26022,1.14237,0.286
1810001,4,61.6757,-26025.6,0.0572072,0.2994
1815001,3,46.7097,-26031,0.207976,0.2364
1820001,4,64.0618,-26025.2,0.255893,0.2656
1825001,4,58.8768,-26027.5,0.494279,0.282
1830001,3,46.0925,-26022.6,0.252532,0.2768
1835001,4,60.1794,-26025.6,1.87343,0.2372
1840001,6,89.1025,-26013.4,1.68115,0.297
1845001,4,60.6459,-26017,1.85144,0.2648
1850001,3,47.0836,-26028.6,0.827633,0.2586
1855001,3,43.4651,-26028.2,3.68315,0.244
1860001,3,45.0642,-26025,0.109902,0.2458
1865001,4,60.8828,-26029,2.31326,0.2262
1870001,3,43.6083,-26024.5,3.05511,0.2828
1875001,3,42.8262,-26029.1,4.0792,0.2382
1880001,4,61.7631,-26028.7,1.19103,0.3074
1885001,3,45.9188,-26025.5,0.377444,0.2774
1890001,3,45.9017,-26026.7,0.188891,0.2738
1895001,3,43.0896,-26027.5,3.44081,0.247
1900001,4,60.9502,-26027.3,0.987939,0.2572
1905001,3,44.021,-26026.9,0.336925,0.264
1910001,3,44.9663,-26030.4,1.17653,0.2548
1915001,3,44.5681,-26026.4,1.84437,0.2464
1920001,3,45.7602,-26025.4,0.848985,0.2632
1925001,3,45.9862,-26026.3,1.04194,0.2378
1930001,3,45.4868,-26022.7,1.51464,0.2342
1935001,4,61.2532,-26021.6,0.483014,0.3088
1940001,3,43.0189,-26018.3,3.24387,0.2766
1945001,3,45.5695,-26019.3,0.614501,0.2464
1950001,3,46.2198,-26018.8,0.162399,0.2236
1955001,4,61.701,-26017.3,0.157364,0.2464
1960001,3,44.1309,-26019.8,1.01746,0.2416
1965001,4,62.5602,-26018,0.222141,0.2596
1970001,5,75.9071,-26020.3,0.0398397,0.2952
1975001,3,45.5416,-26023,2.17176,0.2774
1980001,3,45.83,-26019.3,0.571977,0.261
1985001,3,43.3007,-26018.5,2.28703,0.2406
1990001,5,73.1092,-26018.6,0.339696,0.2316
1995001,4,61.6041,-26021.1,0.415452,0.23
2000001,4,60.0142,-26018,1.33586,0.221
2005001,3,44.437,-26019.7,1.64026,0.269
2010001,3,44.4613,-26028.2,2.40105,0.1948
2015001,2,27.6971,-26027.1,3.43198,0.1922
2020001,2,31.3859,-26034.2,0.0413697,0.2014
2025001,2,31.239,-26031.6,0.136634,0.209
2030001,3,47.1842,-26024.3,0.519577,0.2332
2035001,4,61.7847,-26021.9,0.109562,0.2954
2040001,3,46.4155,-26020.9,0.924381,0.2418
2045001,3,47.0685,-26021.2,0.127489,0.2638
2050001,3,42.7633,-26022.4,4.11779,0.3378
2055001,3,45.8115,-26021,0.472676,0.2464
2060001,3,45.7778,-26022.5,1.62081,0.2442
2065001,4,63.4091,-26023,0.490846,0.289
2070001,3,47.0039,-26027.9,0.0352324,0.272
2075001,4,61.3659,-26020.4,0.681706,0.28
2080001,3,43.3485,-26019.6,2.91027,0.295
2085001,3,45.3499,-26021.1,2.15582,0.2498
2090001,3,45.7807,-26021.1,1.19674,0.2464
2095001,3,46.7874,-26021,0.654742,0.2762
2100001,3,46.2366,-26020.9,0.140726,0.2868
2105001,3,46.5839,-26019.4,0.203305,0.257
2110001,4,61.5933,-26019.6,0.421096,0.2734
2115001,3,44.2228,-26025,3.19665,0.2426
2120001,3,46.563,-26022.4,0.591848,0.2766
2125001,3,46.7415,-26022.9,0.704117,0.2782
2130001,3,47.0199,-26022.1,0.434408,0.3268
2135001,3,45.7572,-26025.8,1.89752,0.2596
2140001,3,43.9578,-26023.4,3.28508,0.2576
2145001,3,45.7467,-26021.5,2.17094,0.2574
2150001,3,47.89,-26024,0.802047,0.263
2155001,7,103.876,-26009.4,0.553152,0.2896
2160001,4,61.6894,-26018.8,1.20942,0.275
2165001,4,59.0495,-26014.5,0.372538,0.2648
2170001,5,78.0695,-26012.6,0.13841,0.317
2175001,5,76.3549,-26011.4,0.305624,0.323
2180001,3,47.8259,-26023.2,0.271664,0.2828
2185001,5,75.8591,-26025.8,0.936748,0.2938
2190001,4,60.9433,-26021.5,2.65206,0.2874
2195001,5,76.5555,-26022.3,1.18875,0.2826
2200001,3,47.4591,-26026.1,0.561216,0.2434
