"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
13379,1,1,3.3340405992618,13672,45957,13672,3.63636363636364,22000,1e-06,45957
13609,5,1,18.4418116721837,13836,31533,13836,18.1818181818182,22000,4.6e-06,31533
13622,1,1,2.73984640000517,13842,34246,13842,3.63636363636364,22000,1e-06,34246
13669,1,1,3.49865044516668,13876,38580,13876,3.63636363636364,22000,1e-06,38580
13812,1,1,3.24527121701763,13983,40243,13983,3.63636363636364,22000,1e-06,40243
13874,1,1,3.3948443404385,14031,64181,14031,3.63636363636364,22000,1e-06,64181
13893,1,1,2.40581359850362,14047,35591,14047,3.63636363636364,22000,1e-06,83516
13918,1,1,4.57955741403329,14070,34829,14070,3.63636363636364,22000,1e-06,34829
14058,1,1,3.01518913149342,14178,57950,14178,3.63636363636364,22000,1e-06,57950
14102,1,1,4.42862336823608,14214,63923,14214,3.63636363636364,22000,1e-06,63923
14103,2,1,6.82732593730629,14214,47020,14214,7.27272727272727,22000,1.9e-06,47020
14109,3,1,10.2915404403779,14220,33883,14220,10.9090909090909,22000,2.8e-06,33883
14122,2,1,8.43118979404899,14231,31344,14231,7.27272727272727,22000,1.9e-06,31344
14160,2,1,7.01995095721461,14259,37460,14259,7.27272727272727,22000,1.9e-06,37460
14174,4,1,14.858499714111,14276,31365,14276,14.5454545454545,22000,3.7e-06,31365
14284,1,1,3.06973615083843,14362,48048,14362,3.63636363636364,22000,1e-06,48048
14294,1,1,3.83199559074757,14369,34395,14369,3.63636363636364,22000,1e-06,34395
14294,2,0,3.83199559074757,30550,30558,14369,7.27272727272727,22000,1.9e-06,34395
14350,6,1,21.7556578411978,14408,33273,14408,21.8181818181818,22000,5.5e-06,33273
14386,4,1,15.3595164955337,14440,32795,14440,14.5454545454545,22000,3.7e-06,32795
14478,1,1,2.29022854806041,14521,34160,14521,3.63636363636364,22000,1e-06,34160
14504,1,1,3.74040414933457,14540,48944,14540,3.63636363636364,22000,1e-06,48944
14606,2,0,10.6584257894004,18902,18906,14619,7.27272727272727,22000,1.9e-06,44372
14606,3,1,10.6584257894004,14619,44372,14619,10.9090909090909,22000,2.8e-06,44372
14658,1,1,3.95853116061077,14656,44620,14656,3.63636363636364,22000,1e-06,44620
14714,3,1,11.2678993858653,14700,32776,14700,10.9090909090909,22000,2.8e-06,32776
14724,2,1,8.02290258935171,14705,36540,14705,7.27272727272727,22000,1.9e-06,36540
14739,3,0,8.03620750432293,38282,38299,14717,10.9090909090909,22000,2.8e-06,42811
14739,2,1,8.03620750432293,14717,42811,14717,7.27272727272727,22000,1.9e-06,42811
14743,6,1,21.6707468225079,14721,37441,14721,21.8181818181818,22000,5.5e-06,37441
14751,1,1,2.99304690283389,14728,51461,14728,3.63636363636364,22000,1e-06,51461
14854,4,1,14.7841706516135,14813,39156,14813,14.5454545454545,22000,3.7e-06,39156
14942,2,1,8.22928600544826,14879,30198,14879,7.27272727272727,22000,1.9e-06,30198
15040,1,1,4.33616355423428,14955,52083,14955,3.63636363636364,22000,1e-06,52083
15198,2,1,7.15257062874713,15062,32126,15062,7.27272727272727,22000,1.9e-06,32126
15247,8,1,29.3239115907259,15092,36392,15092,29.0909090909091,22000,7.3e-06,36392
15363,4,1,14.2878466562277,15172,37575,15172,14.5454545454545,22000,3.7e-06,37575
15425,1,1,3.5234442404619,15217,53285,15217,3.63636363636364,22000,1e-06,53285
15571,3,1,10.5255929200861,15312,48328,15312,10.9090909090909,22000,2.8e-06,48328
